Result,match_number,team,opponent,toss_decision,gender,season,home_advantage,venue_city,choose_to_bat,avg_score,avg_win_rate,avg_wickets_out,last_match_result
,1,Southern Brave,Trent Rockets,bat,female,2023,no,"Trent Bridge, Nottingham Nottingham",no,,,,
,1,Trent Rockets,Southern Brave,field,female,2023,yes,"Trent Bridge, Nottingham Nottingham",yes,,,,
,4,Birmingham Phoenix,Northern Superchargers,bat,female,2023,no,"Headingley, Leeds Leeds",no,,,,
,4,Northern Superchargers,Birmingham Phoenix,field,female,2023,yes,"Headingley, Leeds Leeds",yes,,,,
,5,Welsh Fire,Southern Brave,bat,female,2023,no,"The Rose Bowl, Southampton Southampton",no,,,,
,5,Southern Brave,Welsh Fire,field,female,2023,yes,"The Rose Bowl, Southampton Southampton",yes,,,,
,8,Southern Brave,Northern Superchargers,field,female,2023,yes,"The Rose Bowl, Southampton Southampton",yes,,,,
,8,Northern Superchargers,Southern Brave,bat,female,2023,no,"The Rose Bowl, Southampton Southampton",no,,,,
,9,Oval Invincibles,Welsh Fire,bat,female,2023,yes,"Kennington Oval, London London",no,,,,
,9,Welsh Fire,Oval Invincibles,field,female,2023,no,"Kennington Oval, London London",yes,,,,
,10,Birmingham Phoenix,Manchester Originals,bat,female,2023,no,"Old Trafford, Manchester Manchester",no,,,,
,10,Manchester Originals,Birmingham Phoenix,field,female,2023,yes,"Old Trafford, Manchester Manchester",yes,,,,
,11,London Spirit,Southern Brave,bat,female,2023,yes,"Lord's, London London",no,,,,
,11,Southern Brave,London Spirit,field,female,2023,no,"Lord's, London London",yes,,,,
,12,Northern Superchargers,Trent Rockets,bat,female,2023,no,"Trent Bridge, Nottingham Nottingham",yes,,,,
,12,Trent Rockets,Northern Superchargers,field,female,2023,yes,"Trent Bridge, Nottingham Nottingham",no,,,,
,13,Oval Invincibles,Manchester Originals,bat,female,2023,yes,"Kennington Oval, London London",no,,,,
,13,Manchester Originals,Oval Invincibles,field,female,2023,no,"Kennington Oval, London London",yes,,,,
,14,Birmingham Phoenix,Welsh Fire,field,female,2023,yes,"Edgbaston, Birmingham Birmingham",yes,,,,
,14,Welsh Fire,Birmingham Phoenix,bat,female,2023,no,"Edgbaston, Birmingham Birmingham",no,,,,
,15,Northern Superchargers,Oval Invincibles,bat,female,2023,yes,"Headingley, Leeds Leeds",yes,,,,
,15,Oval Invincibles,Northern Superchargers,field,female,2023,no,"Headingley, Leeds Leeds",no,,,,
,16,London Spirit,Trent Rockets,bat,female,2023,yes,"Lord's, London London",no,,,,
,16,Trent Rockets,London Spirit,field,female,2023,no,"Lord's, London London",yes,,,,
,17,Welsh Fire,Southern Brave,bat,female,2023,yes,"Sophia Gardens, Cardiff Cardiff",no,,,,
,17,Southern Brave,Welsh Fire,field,female,2023,no,"Sophia Gardens, Cardiff Cardiff",yes,,,,
,18,Northern Superchargers,Manchester Originals,bat,female,2023,yes,"Headingley, Leeds Leeds",yes,,,,
,18,Manchester Originals,Northern Superchargers,field,female,2023,no,"Headingley, Leeds Leeds",no,,,,
,19,Oval Invincibles,Birmingham Phoenix,bat,female,2023,no,"Edgbaston, Birmingham Birmingham",no,,,,
,19,Birmingham Phoenix,Oval Invincibles,field,female,2023,yes,"Edgbaston, Birmingham Birmingham",yes,,,,
,20,Welsh Fire,Trent Rockets,bat,female,2023,yes,"Sophia Gardens, Cardiff Cardiff",yes,,,,
,20,Trent Rockets,Welsh Fire,field,female,2023,no,"Sophia Gardens, Cardiff Cardiff",no,,,,
,21,London Spirit,Oval Invincibles,bat,female,2023,no,"Kennington Oval, London London",no,,,,
,21,Oval Invincibles,London Spirit,field,female,2023,yes,"Kennington Oval, London London",yes,,,,
,22,Southern Brave,Birmingham Phoenix,bat,female,2023,yes,"The Rose Bowl, Southampton Southampton",yes,,,,
,22,Birmingham Phoenix,Southern Brave,field,female,2023,no,"The Rose Bowl, Southampton Southampton",no,,,,
,23,Manchester Originals,Trent Rockets,bat,female,2023,no,"Trent Bridge, Nottingham Nottingham",yes,,,,
,23,Trent Rockets,Manchester Originals,field,female,2023,yes,"Trent Bridge, Nottingham Nottingham",no,,,,
,24,London Spirit,Northern Superchargers,bat,female,2023,yes,"Lord's, London London",no,,,,
,24,Northern Superchargers,London Spirit,field,female,2023,no,"Lord's, London London",yes,,,,
,25,Trent Rockets,Birmingham Phoenix,bat,female,2023,yes,"Trent Bridge, Nottingham Nottingham",yes,,,,
,25,Birmingham Phoenix,Trent Rockets,field,female,2023,no,"Trent Bridge, Nottingham Nottingham",no,,,,
