Result,match_number,team,opponent,toss_decision,gender,season,team_score,team_wickets,winner,toss_winner,home_advantage,venue_city,choose_to_bat,avg_score,avg_win_rate,avg_wickets_out,last_match_result
win,1,Southern Brave,Trent Rockets,bat,female,2023,157,6,Southern Brave,Trent Rockets,no,"Trent Bridge, Nottingham Nottingham",no,,,,
lose,1,Trent Rockets,Southern Brave,field,female,2023,130,7,Southern Brave,Trent Rockets,yes,"Trent Bridge, Nottingham Nottingham",yes,,,,
lose,4,Birmingham Phoenix,Northern Superchargers,bat,female,2023,110,8,Northern Superchargers,Northern Superchargers,no,"Headingley, Leeds Leeds",no,,,,
win,4,Northern Superchargers,Birmingham Phoenix,field,female,2023,112,3,Northern Superchargers,Northern Superchargers,yes,"Headingley, Leeds Leeds",yes,,,,
win,5,Welsh Fire,Southern Brave,bat,female,2023,165,3,Welsh Fire,Southern Brave,no,"The Rose Bowl, Southampton Southampton",no,,,,
lose,5,Southern Brave,Welsh Fire,field,female,2023,161,4,Welsh Fire,Southern Brave,yes,"The Rose Bowl, Southampton Southampton",yes,,,,
win,8,Southern Brave,Northern Superchargers,field,female,2023,102,5,Southern Brave,Southern Brave,yes,"The Rose Bowl, Southampton Southampton",yes,,,,
lose,8,Northern Superchargers,Southern Brave,bat,female,2023,100,8,Southern Brave,Southern Brave,no,"The Rose Bowl, Southampton Southampton",no,,,,
lose,9,Oval Invincibles,Welsh Fire,bat,female,2023,80,0,Welsh Fire,Welsh Fire,yes,"Kennington Oval, London London",no,,,,
win,9,Welsh Fire,Oval Invincibles,field,female,2023,81,7,Welsh Fire,Welsh Fire,no,"Kennington Oval, London London",yes,,,,
lose,10,Birmingham Phoenix,Manchester Originals,bat,female,2023,87,0,Manchester Originals,Manchester Originals,no,"Old Trafford, Manchester Manchester",no,,,,
win,10,Manchester Originals,Birmingham Phoenix,field,female,2023,91,5,Manchester Originals,Manchester Originals,yes,"Old Trafford, Manchester Manchester",yes,,,,
lose,11,London Spirit,Southern Brave,bat,female,2023,104,5,Southern Brave,Southern Brave,yes,"Lord's, London London",no,,,,
win,11,Southern Brave,London Spirit,field,female,2023,108,5,Southern Brave,Southern Brave,no,"Lord's, London London",yes,,,,
win,12,Northern Superchargers,Trent Rockets,bat,female,2023,134,4,Northern Superchargers,Northern Superchargers,no,"Trent Bridge, Nottingham Nottingham",yes,,,,
lose,12,Trent Rockets,Northern Superchargers,field,female,2023,125,7,Northern Superchargers,Northern Superchargers,yes,"Trent Bridge, Nottingham Nottingham",no,,,,
win,13,Oval Invincibles,Manchester Originals,bat,female,2023,128,7,Oval Invincibles,Manchester Originals,yes,"Kennington Oval, London London",no,,,,
lose,13,Manchester Originals,Oval Invincibles,field,female,2023,123,9,Oval Invincibles,Manchester Originals,no,"Kennington Oval, London London",yes,,,,
lose,14,Birmingham Phoenix,Welsh Fire,field,female,2023,134,4,Welsh Fire,Birmingham Phoenix,yes,"Edgbaston, Birmingham Birmingham",yes,,,,
win,14,Welsh Fire,Birmingham Phoenix,bat,female,2023,137,7,Welsh Fire,Birmingham Phoenix,no,"Edgbaston, Birmingham Birmingham",no,,,,
win,15,Northern Superchargers,Oval Invincibles,bat,female,2023,143,4,Northern Superchargers,Northern Superchargers,yes,"Headingley, Leeds Leeds",yes,,,,
lose,15,Oval Invincibles,Northern Superchargers,field,female,2023,129,5,Northern Superchargers,Northern Superchargers,no,"Headingley, Leeds Leeds",no,,,,
lose,16,London Spirit,Trent Rockets,bat,female,2023,124,4,Trent Rockets,Trent Rockets,yes,"Lord's, London London",no,,,,
