"Result","match_number","team_code","opponent_code","gender","season","team_score","team_wickets","winner_code","toss_winner_code","home_advantage","venue_city_code","choose_to_bat","avg_score","avg_win_rate","avg_wickets_out","last_match_result"
"1",5,5,2,"0",2021,132,7,5,2,"0",2,"0",139,1,5,"1"
"1",6,1,3,"0",2021,113,9,1,1,"0",3,"1",128,0,6,"0"
"1",7,4,7,"0",2021,149,7,4,4,"0",7,"1",131,1,4,"1"
"0",8,8,6,"0",2021,110,7,6,6,"1",8,"0",130,0,8,"0"
"1",10,7,2,"0",2021,151,4,7,7,"0",2,"1",116,0,7,"0"
"0",11,1,6,"0",2021,140,4,6,6,"0",6,"0",120.5,0.5,7.5,"1"
"0",12,3,8,"0",2021,120,6,8,8,"0",8,"0",114,0,7,"0"
"1",13,4,5,"0",2021,109,8,4,5,"1",4,"0",140,1,5.5,"1"
"1",14,7,1,"0",2021,145,5,7,7,"0",1,"1",127.666666666667,0.333333333333333,6,"1"
"0",15,2,6,"0",2021,93,10,6,6,"1",2,"0",127.333333333333,0.333333333333333,7,"0"
"1",16,8,5,"0",2021,112,6,8,5,"0",5,"0",121.333333333333,0.333333333333333,5.33333333333333,"1"
"0",17,4,2,"0",2021,126,5,2,4,"0",2,"1",129.666666666667,1,6.33333333333333,"1"
"0",18,1,5,"0",2021,129,9,5,1,"1",1,"1",128.75,0.25,7,"0"
"0",19,6,3,"0",2021,123,7,3,3,"0",3,"0",120.75,1,3,"1"
"0",20,8,7,"0",2021,102,10,7,7,"1",8,"0",119,0.5,5.5,"1"
"0",21,4,6,"0",2021,76,3,6,6,"0",6,"0",128.75,0.75,6,"0"
"0",23,8,1,"0",2021,127,9,1,1,"0",1,"0",115.6,0.4,6.4,"0"
"0",24,3,2,"0",2021,127,5,2,3,"1",3,"1",111.25,0.25,5.25,"1"
"1",25,6,8,"0",2021,166,3,6,8,"1",6,"0",115.833333333333,0.833333333333333,3.66666666666667,"1"
"0",26,4,3,"0",2021,126,5,3,3,"1",4,"0",118.2,0.6,5.4,"0"
"0",27,7,1,"0",2021,125,7,1,1,"1",7,"0",126.2,0.6,5.8,"1"
"0",28,2,5,"0",2021,103,9,5,5,"0",5,"0",122.5,0.5,6.5,"1"
"0",29,7,3,"0",2021,122,6,3,3,"1",7,"0",126,0.5,6,"0"
"1",30,6,5,"0",2021,115,3,6,5,"1",6,"0",123,0.857142857142857,3.57142857142857,"1"
"1",31,1,4,"0",2021,147,4,1,4,"0",4,"0",129.142857142857,0.428571428571429,6.28571428571429,"1"
"0",32,8,2,"0",2021,95,9,2,2,"1",8,"0",118.857142857143,0.285714285714286,6.42857142857143,"0"
"1",40,5,1,"0",2021,114,7,5,1,"1",5,"0",114.428571428571,0.571428571428571,5.57142857142857,"0"
"1",50,5,6,"0",2021,121,6,5,6,"0",6,"0",114.375,0.625,5.75,"1"
"0",6,1,3,"1",2021,87,10,3,1,"0",3,"1",148,1,7,"1"
"0",7,4,7,"1",2021,132,10,7,4,"0",7,"1",168,0,7,"0"
"1",8,8,6,"1",2021,165,4,8,6,"1",8,"0",173,1,4,"1"
"1",10,7,2,"1",2021,123,4,7,2,"0",2,"0",130.5,1,4.5,"1"
"0",11,1,6,"1",2021,151,3,6,6,"0",6,"0",117.5,0.5,8.5,"0"
"0",12,8,3,"1",2021,150,6,3,8,"1",8,"1",169,1,4,"1"
"0",13,5,4,"1",2021,127,6,4,5,"0",4,"1",145,1,8,"1"
"0",14,7,1,"1",2021,144,6,1,1,"0",1,"0",128,1,4.33333333333333,"1"
"1",15,6,2,"1",2021,145,6,6,2,"0",2,"0",141.666666666667,0.333333333333333,7,"1"
"0",16,8,5,"1",2021,121,7,5,5,"0",5,"0",162.666666666667,0.666666666666667,4.66666666666667,"0"
"1",17,4,2,"1",2021,155,3,4,4,"0",2,"1",142.666666666667,0.333333333333333,7,"1"
"0",18,5,1,"1",2021,172,3,1,1,"0",1,"0",132.333333333333,0.666666666666667,6,"1"
"0",20,8,7,"1",2021,139,8,7,7,"1",8,"0",152.25,0.5,5.25,"0"
"0",21,4,6,"1",2021,128,6,6,4,"0",6,"1",145.75,0.5,6,"1"
"1",22,5,7,"1",2021,125,6,5,7,"1",5,"0",142.25,0.5,5.25,"0"
"1",23,1,8,"1",2021,184,5,1,8,"1",1,"0",141,0.6,5.6,"1"
"1",24,2,3,"1",2021,142,6,2,2,"0",3,"1",123.25,0,7.5,"0"
"0",25,8,6,"1",2021,144,5,6,6,"0",6,"0",139.833333333333,0.333333333333333,6.5,"0"
"1",26,4,3,"1",2021,200,5,4,3,"1",4,"0",142.2,0.4,6,"0"
"1",27,1,7,"1",2021,166,6,1,7,"0",7,"0",148.166666666667,0.666666666666667,5.5,"1"
"0",28,2,5,"1",2021,146,7,5,2,"0",5,"1",127,0.2,7.2,"1"
"0",29,3,7,"1",2021,135,8,7,3,"0",7,"1",129,0.4,6.6,"0"
"0",30,5,6,"1",2021,134,7,6,6,"0",6,"0",140.166666666667,0.666666666666667,5.83333333333333,"1"
"0",31,4,1,"1",2021,143,8,1,1,"1",4,"0",151.833333333333,0.5,5.83333333333333,"1"
"0",32,2,8,"1",2021,163,5,8,8,"0",8,"0",130.166666666667,0.166666666666667,7.16666666666667,"0"
"0",40,7,6,"1",2021,96,10,6,6,"0",6,"0",133.75,0.625,5.375,"1"
"1",50,6,1,"1",2021,168,5,6,1,"0",1,"0",135,0.75,5.125,"1"
"0",1,4,5,"0",2022,143,5,5,5,"0",5,"0",121.428571428571,0.428571428571429,5.42857142857143,"0"
"0",2,2,6,"0",2022,155,4,6,2,"0",6,"1",116.75,0.5,6.375,"1"
"1",3,7,3,"0",2022,119,5,7,3,"0",3,"0",125.428571428571,0.428571428571429,6,"0"
"1",4,1,8,"0",2022,161,5,1,8,"0",8,"0",127.222222222222,0.444444444444444,6.44444444444444,"0"
"1",5,4,2,"0",2022,127,4,4,2,"1",4,"0",124.125,0.375,5.375,"0"
"1",6,6,5,"0",2022,153,8,6,5,"0",5,"0",120.8,0.8,4.2,"1"
"0",7,7,1,"0",2022,116,9,1,1,"0",1,"0",124.625,0.5,5.875,"1"
"1",8,3,8,"0",2022,156,2,3,8,"1",3,"0",112.375,0.375,4.875,"0"
"0",9,7,5,"0",2022,112,8,5,5,"1",7,"0",123.666666666667,0.444444444444444,6.22222222222222,"0"
"1",10,6,3,"0",2022,136,5,6,3,"1",6,"0",123.727272727273,0.818181818181818,4.54545454545455,"1"
"1",11,1,4,"0",2022,153,4,1,4,"1",1,"0",129.363636363636,0.545454545454545,5.90909090909091,"1"
"1",12,7,2,"0",2022,142,4,7,2,"1",7,"0",122.5,0.4,6.4,"0"
"0",13,3,4,"0",2022,160,3,4,3,"0",4,"1",118.2,0.4,4.9,"0"
"1",14,6,8,"0",2022,122,8,6,8,"0",8,"0",124.75,0.833333333333333,4.58333333333333,"1"
"0",15,1,5,"0",2022,106,7,5,5,"0",5,"0",131.333333333333,0.583333333333333,5.75,"1"
"0",16,8,2,"0",2022,119,9,2,8,"0",2,"1",120.181818181818,0.181818181818182,6.54545454545455,"0"
"0",17,7,6,"0",2022,88,8,6,6,"0",6,"0",124.272727272727,0.454545454545454,6.18181818181818,"1"
"1",18,8,4,"0",2022,123,6,8,8,"1",8,"1",120.083333333333,0.166666666666667,6.75,"0"
"0",19,2,5,"0",2022,80,10,5,5,"1",2,"0",121.416666666667,0.416666666666667,5.83333333333333,"1"
"1",20,3,1,"0",2022,122,6,3,1,"0",1,"0",122,0.363636363636364,4.72727272727273,"0"
"0",21,8,7,"0",2022,100,8,7,8,"0",7,"1",120.307692307692,0.230769230769231,6.69230769230769,"1"
"0",22,1,2,"0",2022,82,10,2,2,"0",2,"0",127.571428571429,0.5,6.14285714285714,"0"
"1",23,4,6,"0",2022,145,6,4,6,"1",4,"0",128.416666666667,0.416666666666667,5.08333333333333,"0"
"1",24,5,3,"0",2022,163,2,5,5,"0",3,"1",116.214285714286,0.714285714285714,4.85714285714286,"1"
"1",40,6,7,"0",2022,134,6,6,7,"1",6,"0",122.533333333333,0.8,4.8,"0"
"0",50,6,5,"0",2022,101,7,5,6,"0",5,"1",123.25,0.8125,4.875,"1"
"0",1,8,6,"1",2022,107,7,6,6,"0",6,"0",143.5,0.375,6.375,"1"
"1",2,2,5,"1",2022,171,6,2,5,"0",5,"0",134.857142857143,0.142857142857143,6.85714285714286,"0"
"0",3,3,4,"1",2022,161,4,4,4,"1",3,"0",130,0.333333333333333,6.83333333333333,"0"
"0",4,1,7,"1",2022,143,7,7,7,"0",7,"0",148.666666666667,0.666666666666667,5.11111111111111,"0"
"1",5,5,8,"1",2022,158,5,5,8,"0",8,"0",142.875,0.5,6.125,"0"
"1",6,2,3,"1",2022,160,6,2,2,"1",2,"1",139.375,0.25,6.75,"1"
"0",7,4,7,"1",2022,152,8,7,7,"1",4,"0",152,0.5,5.875,"1"
"1",8,1,6,"1",2022,176,4,1,6,"1",1,"0",148.1,0.6,5.3,"0"
"0",9,4,5,"1",2022,157,7,5,5,"0",5,"0",152,0.444444444444444,6.11111111111111,"0"
"1",10,2,6,"1",2022,147,6,2,2,"0",6,"1",141.666666666667,0.333333333333333,6.66666666666667,"1"
"0",11,3,7,"1",2022,189,3,7,7,"1",3,"0",131.125,0.25,6.875,"0"
"1",12,1,8,"1",2022,130,7,1,8,"0",8,"0",150.636363636364,0.636363636363636,5.18181818181818,"1"
"0",13,4,2,"1",2022,143,5,2,4,"1",4,"1",152.5,0.4,6.2,"0"
"0",14,6,5,"1",2022,137,6,5,5,"0",5,"0",134.833333333333,0.666666666666667,5.33333333333333,"0"
"0",15,7,1,"1",2022,145,6,1,1,"0",1,"0",138.416666666667,0.666666666666667,5.16666666666667,"1"
"1",16,3,8,"1",2022,149,9,3,8,"1",3,"0",137.555555555556,0.222222222222222,6.44444444444444,"0"
"1",17,7,5,"1",2022,181,4,7,5,"1",7,"0",138.923076923077,0.615384615384615,5.23076923076923,"0"
"1",18,3,6,"1",2022,188,3,3,6,"0",6,"0",138.7,0.3,6.7,"1"
"1",19,4,1,"1",2022,169,6,4,1,"0",1,"0",151.636363636364,0.363636363636364,6.09090909090909,"0"
"0",20,2,7,"1",2022,122,10,7,7,"0",7,"0",142.636363636364,0.454545454545454,6.27272727272727,"1"
"1",21,3,4,"1",2022,208,5,3,4,"0",4,"0",143.181818181818,0.363636363636364,6.36363636363636,"1"
"0",22,8,6,"1",2022,129,8,6,6,"1",8,"0",133.5,0.25,6.58333333333333,"0"
"1",23,1,5,"1",2022,166,6,1,5,"0",5,"0",148.071428571429,0.642857142857143,5.42857142857143,"0"
"1",24,2,8,"1",2022,156,6,2,8,"1",2,"0",140.916666666667,0.416666666666667,6.58333333333333,"0"
"0",25,7,6,"1",2022,138,6,6,6,"0",6,"0",140.933333333333,0.666666666666667,5.06666666666667,"1"
"0",26,8,4,"1",2022,114,4,4,8,"1",8,"1",133.571428571429,0.214285714285714,6.85714285714286,"0"
"0",27,2,5,"1",2022,122,7,5,2,"1",2,"1",142.076923076923,0.461538461538462,6.53846153846154,"1"
"1",28,3,1,"1",2022,154,6,3,3,"0",1,"1",148.583333333333,0.416666666666667,6.25,"1"
"1",29,7,8,"1",2022,172,4,7,8,"1",7,"0",140.75,0.625,5.125,"0"
"0",30,2,1,"1",2022,139,6,1,1,"1",2,"0",140.642857142857,0.428571428571429,6.57142857142857,"0"
"1",31,4,6,"1",2022,135,8,4,6,"1",4,"0",152.714285714286,0.428571428571429,6,"1"
