Result,match_number,team_code,opponent_code,gender,season,team_score,team_wickets,winner_code,toss_winner_code,home_advantage,venue_city_code,choose_to_bat,avg_score,avg_win_rate,avg_wickets_out,last_match_result
1,5,4,1,0,2021,132,7,4,1,0,1,0,139.0,1.0,5.0,1
1,6,0,2,0,2021,113,9,0,0,0,2,1,128.0,0.0,6.0,0
1,7,3,6,0,2021,149,7,3,3,0,6,1,131.0,1.0,4.0,1
0,8,7,5,0,2021,110,7,5,5,1,5,0,130.0,0.0,8.0,0
1,10,6,1,0,2021,151,4,6,6,0,1,1,116.0,0.0,7.0,0
0,11,0,5,0,2021,140,4,5,5,0,5,0,120.5,0.5,7.5,1
0,12,2,7,0,2021,120,6,7,7,0,7,0,114.0,0.0,7.0,0
1,13,3,4,0,2021,109,8,3,4,1,4,0,140.0,1.0,5.5,1
1,14,6,0,0,2021,145,5,6,6,0,0,1,127.66666666666669,0.3333333333333333,6.0,1
0,15,1,5,0,2021,93,10,5,5,1,5,0,127.33333333333331,0.3333333333333333,7.0,0
1,16,7,4,0,2021,112,6,7,4,0,4,0,121.33333333333331,0.3333333333333333,5.333333333333333,1
0,17,3,1,0,2021,126,5,1,3,0,1,1,129.66666666666666,1.0,6.333333333333333,1
0,18,0,4,0,2021,129,9,4,0,1,4,1,128.75,0.25,7.0,0
0,19,5,2,0,2021,123,7,2,2,0,2,0,120.75,1.0,3.0,1
0,20,7,6,0,2021,102,10,6,6,1,6,0,119.0,0.5,5.5,1
0,21,3,5,0,2021,76,3,5,5,0,5,0,128.75,0.75,6.0,0
0,23,7,0,0,2021,127,9,0,0,0,0,0,115.6,0.4,6.4,0
0,24,2,1,0,2021,127,5,1,2,1,1,1,111.25,0.25,5.25,1
1,25,5,7,0,2021,166,3,5,7,1,7,0,115.83333333333331,0.8333333333333334,3.6666666666666665,1
0,26,3,2,0,2021,126,5,2,2,1,2,0,118.2,0.6,5.4,0
0,27,6,0,0,2021,125,7,0,0,1,0,0,126.2,0.6,5.8,1
0,28,1,4,0,2021,103,9,4,4,0,4,0,122.5,0.5,6.5,1
0,29,6,2,0,2021,122,6,2,2,1,2,0,126.0,0.5,6.0,0
1,30,5,4,0,2021,115,3,5,4,1,4,0,123.0,0.8571428571428571,3.571428571428572,1
1,31,0,3,0,2021,147,4,0,3,0,3,0,129.14285714285714,0.4285714285714285,6.285714285714286,1
0,32,7,1,0,2021,95,9,1,1,1,1,0,118.85714285714286,0.2857142857142857,6.428571428571429,0
1,40,4,0,0,2021,114,7,4,0,1,0,0,114.42857142857144,0.5714285714285714,5.571428571428571,0
1,50,4,5,0,2021,121,6,4,5,0,5,0,114.375,0.625,5.75,1
0,6,0,2,1,2021,87,10,2,0,0,2,1,148.0,1.0,7.0,1
0,7,3,6,1,2021,132,10,6,3,0,6,1,168.0,0.0,7.0,0
1,8,7,5,1,2021,165,4,7,5,1,5,0,173.0,1.0,4.0,1
1,10,6,1,1,2021,123,4,6,1,0,1,0,130.5,1.0,4.5,1
0,11,0,5,1,2021,151,3,5,5,0,5,0,117.5,0.5,8.5,0
0,12,7,2,1,2021,150,6,2,7,1,2,1,169.0,1.0,4.0,1
0,13,4,3,1,2021,127,6,3,4,0,3,1,145.0,1.0,8.0,1
0,14,6,0,1,2021,144,6,0,0,0,0,0,128.0,1.0,4.333333333333333,1
1,15,5,1,1,2021,145,6,5,1,0,1,0,141.66666666666666,0.3333333333333333,7.0,1
0,16,7,4,1,2021,121,7,4,4,0,4,0,162.66666666666666,0.6666666666666666,4.666666666666667,0
1,17,3,1,1,2021,155,3,3,3,0,1,1,142.66666666666666,0.3333333333333333,7.0,1
0,18,4,0,1,2021,172,3,0,0,0,0,0,132.33333333333334,0.6666666666666666,6.0,1
0,20,7,6,1,2021,139,8,6,6,1,6,0,152.25,0.5,5.25,0
0,21,3,5,1,2021,128,6,5,3,0,5,1,145.75,0.5,6.0,1
1,22,4,6,1,2021,125,6,4,6,1,6,0,142.25,0.5,5.25,0
1,23,0,7,1,2021,184,5,0,7,1,7,0,141.0,0.6,5.6,1
1,24,1,2,1,2021,142,6,1,1,0,2,1,123.25,0.0,7.5,0
0,25,7,5,1,2021,144,5,5,5,0,5,0,139.83333333333334,0.3333333333333333,6.5,0
1,26,3,2,1,2021,200,5,3,2,1,2,0,142.2,0.4,6.0,0
1,27,0,6,1,2021,166,6,0,6,0,6,0,148.16666666666666,0.6666666666666666,5.5,1
0,28,1,4,1,2021,146,7,4,1,0,4,1,127.0,0.2,7.2,1
0,29,2,6,1,2021,135,8,6,2,0,6,1,129.0,0.4,6.6,0
0,30,4,5,1,2021,134,7,5,5,0,5,0,140.16666666666666,0.6666666666666666,5.833333333333333,1
0,31,3,0,1,2021,143,8,0,0,1,0,0,151.83333333333334,0.5,5.833333333333333,1
0,32,1,7,1,2021,163,5,7,7,0,7,0,130.16666666666666,0.1666666666666666,7.166666666666667,0
0,40,6,5,1,2021,96,10,5,5,0,5,0,133.75,0.625,5.375,1
1,50,5,0,1,2021,168,5,5,0,0,0,0,135.0,0.75,5.125,1
0,1,3,4,0,2022,143,5,4,4,0,4,0,121.42857142857144,0.4285714285714285,5.428571428571429,0
0,2,1,5,0,2022,155,4,5,1,0,5,1,116.75,0.5,6.375,1
1,3,6,2,0,2022,119,5,6,2,0,2,0,125.42857142857144,0.4285714285714285,6.0,0
1,4,0,7,0,2022,161,5,0,7,0,7,0,127.22222222222224,0.4444444444444444,6.444444444444445,0
1,5,3,1,0,2022,127,4,3,1,1,1,0,124.125,0.375,5.375,0
1,6,5,4,0,2022,153,8,5,4,0,4,0,120.8,0.8,4.2,1
0,7,6,0,0,2022,116,9,0,0,0,0,0,124.625,0.5,5.875,1
1,8,2,7,0,2022,156,2,2,7,1,7,0,112.375,0.375,4.875,0
0,9,6,4,0,2022,112,8,4,4,1,4,0,123.66666666666669,0.4444444444444444,6.222222222222222,0
1,10,5,2,0,2022,136,5,5,2,1,2,0,123.72727272727272,0.8181818181818182,4.545454545454546,1
1,11,0,3,0,2022,153,4,0,3,1,3,0,129.36363636363637,0.5454545454545454,5.909090909090909,1
1,12,6,1,0,2022,142,4,6,1,1,1,0,122.5,0.4,6.4,0
0,13,2,3,0,2022,160,3,3,2,0,3,1,118.2,0.4,4.9,0
1,14,5,7,0,2022,122,8,5,7,0,7,0,124.75,0.8333333333333334,4.583333333333333,1
0,15,0,4,0,2022,106,7,4,4,0,4,0,131.33333333333334,0.5833333333333334,5.75,1
0,16,7,1,0,2022,119,9,1,7,0,1,1,120.1818181818182,0.1818181818181818,6.545454545454546,0
0,17,6,5,0,2022,88,8,5,5,0,5,0,124.27272727272728,0.4545454545454545,6.181818181818182,1
1,18,7,3,0,2022,123,6,7,7,1,3,1,120.08333333333331,0.1666666666666666,6.75,0
0,19,1,4,0,2022,80,10,4,4,1,4,0,121.41666666666669,0.4166666666666667,5.833333333333333,1
1,20,2,0,0,2022,122,6,2,0,0,0,0,122.0,0.3636363636363636,4.727272727272728,0
0,21,7,6,0,2022,100,8,6,7,0,6,1,120.3076923076923,0.2307692307692307,6.6923076923076925,1
0,22,0,1,0,2022,82,10,1,1,0,1,0,127.57142857142856,0.5,6.142857142857143,0
