Result,match_number,team,opponent,gender,season,team_score,team_wickets,winner,toss_winner,home_advantage,venue_city,choose_to_bat,avg_score,avg_win_rate,avg_wickets_out,last_match_result
lose,1,Manchester Originals,Oval Invincibles,female,2021,135,6,Oval Invincibles,Manchester Originals,no,"Kennington Oval, London London",yes,,,,
lose,2,Birmingham Phoenix,London Spirit,female,2021,128,6,London Spirit,London Spirit,yes,"Edgbaston, Birmingham Birmingham",no,,,,
win,3,Southern Brave,Trent Rockets,female,2021,133,5,Southern Brave,Trent Rockets,no,"Trent Bridge, Nottingham Nottingham",no,,,,
lose,4,Welsh Fire,Northern Superchargers,female,2021,130,8,Northern Superchargers,Northern Superchargers,no,"Headingley, Leeds Leeds",no,,,,
win,5,Oval Invincibles,London Spirit,female,2021,132,7,Oval Invincibles,London Spirit,no,"Lord's, London London",no,139.0,1.0,5.0,win
win,6,Birmingham Phoenix,Manchester Originals,female,2021,113,9,Birmingham Phoenix,Birmingham Phoenix,no,"Old Trafford, Manchester Manchester",yes,128.0,0.0,6.0,lose
win,7,Northern Superchargers,Trent Rockets,female,2021,149,7,Northern Superchargers,Northern Superchargers,no,"Trent Bridge, Nottingham Nottingham",yes,131.0,1.0,4.0,win
lose,8,Welsh Fire,Southern Brave,female,2021,110,7,Southern Brave,Southern Brave,yes,"Sophia Gardens, Cardiff Cardiff",no,130.0,0.0,8.0,lose
win,10,Trent Rockets,London Spirit,female,2021,151,4,Trent Rockets,Trent Rockets,no,"Lord's, London London",yes,116.0,0.0,7.0,lose
lose,11,Birmingham Phoenix,Southern Brave,female,2021,140,4,Southern Brave,Southern Brave,no,"The Rose Bowl, Southampton Southampton",no,120.5,0.5,7.5,win
lose,12,Manchester Originals,Welsh Fire,female,2021,120,6,Welsh Fire,Welsh Fire,no,"Sophia Gardens, Cardiff Cardiff",no,114.0,0.0,7.0,lose
win,13,Northern Superchargers,Oval Invincibles,female,2021,109,8,Northern Superchargers,Oval Invincibles,yes,"Headingley, Leeds Leeds",no,140.0,1.0,5.5,win
win,14,Trent Rockets,Birmingham Phoenix,female,2021,145,5,Trent Rockets,Trent Rockets,no,"Edgbaston, Birmingham Birmingham",yes,127.66666666666667,0.3333333333333333,6.0,win
lose,15,London Spirit,Southern Brave,female,2021,93,10,Southern Brave,Southern Brave,yes,"Lord's, London London",no,127.33333333333333,0.3333333333333333,7.0,lose
win,16,Welsh Fire,Oval Invincibles,female,2021,112,6,Welsh Fire,Oval Invincibles,no,"Kennington Oval, London London",no,121.33333333333333,0.3333333333333333,5.333333333333333,win
lose,17,Northern Superchargers,London Spirit,female,2021,126,5,London Spirit,Northern Superchargers,no,"Lord's, London London",yes,129.66666666666666,1.0,6.333333333333333,win
lose,18,Birmingham Phoenix,Oval Invincibles,female,2021,129,9,Oval Invincibles,Birmingham Phoenix,yes,"Edgbaston, Birmingham Birmingham",yes,128.75,0.25,7.0,lose
lose,19,Southern Brave,Manchester Originals,female,2021,123,7,Manchester Originals,Manchester Originals,no,"Old Trafford, Manchester Manchester",no,120.75,1.0,3.0,win
lose,20,Welsh Fire,Trent Rockets,female,2021,102,10,Trent Rockets,Trent Rockets,yes,"Sophia Gardens, Cardiff Cardiff",no,119.0,0.5,5.5,win
lose,21,Northern Superchargers,Southern Brave,female,2021,76,3,Southern Brave,Southern Brave,no,"The Rose Bowl, Southampton Southampton",no,128.75,0.75,6.0,lose
lose,23,Welsh Fire,Birmingham Phoenix,female,2021,127,9,Birmingham Phoenix,Birmingham Phoenix,no,"Edgbaston, Birmingham Birmingham",no,115.6,0.4,6.4,lose
lose,24,Manchester Originals,London Spirit,female,2021,127,5,London Spirit,Manchester Originals,yes,"Old Trafford, Manchester Manchester",yes,111.25,0.25,5.25,win
win,25,Southern Brave,Welsh Fire,female,2021,166,3,Southern Brave,Welsh Fire,yes,"The Rose Bowl, Southampton Southampton",no,115.83333333333333,0.8333333333333334,3.6666666666666665,win
lose,26,Northern Superchargers,Manchester Originals,female,2021,126,5,Manchester Originals,Manchester Originals,yes,"Headingley, Leeds Leeds",no,118.2,0.6,5.4,lose
lose,27,Trent Rockets,Birmingham Phoenix,female,2021,125,7,Birmingham Phoenix,Birmingham Phoenix,yes,"Trent Bridge, Nottingham Nottingham",no,126.2,0.6,5.8,win
